id,assignment_id,question_id,option_key,saved_at,details_text
4c4a9ea1-44f5-425e-a459-59d6a31843f0,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,0cd3b553-b666-426f-bdae-9f6501e09aef,erfüllt,2026-06-06 17:37:10.529919+00,
0a16538b-cfd7-42f1-9f14-af5420ae1aa8,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,7bd1c6d0-c770-43dc-a3f4-cfcf193cdfb6,erfüllt,2026-06-06 17:40:03.099574+00,
98987900-26fc-40fe-bced-8887fee54a52,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,76b5598d-9ee8-46e9-b65f-14e040593471,erfüllt,2026-06-06 17:41:43.312093+00,
420c68a2-a01e-4e8d-a8ba-85409ecf1c0f,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,4d77c499-bbe5-4219-b8f0-0424342aab2b,nicht_erfüllt,2026-06-06 17:44:48.537446+00,
a684ee18-7bef-4f78-9275-8034bf692205,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,587d29c0-54aa-494c-8790-17142f441de3,erfüllt,2026-06-06 17:45:43.308838+00,
a49e3ff3-025c-4267-bf55-0dbddc1b2740,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,d1ed8043-2a90-48bf-bb67-c6b5c02642af,teilweise,2026-06-06 17:48:01.184665+00,
b5f32438-a473-4c4f-917f-133f7c3f8284,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,334127b2-22cc-4117-b2d3-3bcadd6eb969,nicht_erfüllt,2026-06-06 17:50:38.158988+00,
c7f42996-3ceb-434e-9a00-a08e7c76bcf7,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,52abaabd-701e-4ed6-bab3-5f37d0152b5d,nicht_erfüllt,2026-06-06 17:55:26.955691+00,
b224abbe-9f84-4710-82b3-591591b01236,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,a4f81941-98bf-47fc-a77e-856b80e51299,erfüllt,2026-06-06 18:20:46.855094+00,
c7bf97ef-290a-44af-81d0-68ba0167ad3b,ad52ae3b-5a07-44e3-901a-c1b3d41976a6,eb8f6525-a8a4-4607-a644-67459cc6763a,erfüllt,2026-06-06 18:24:22.001656+00,
5040ad63-bea0-4349-9a09-f7fb492b1034,d3949252-5e73-436e-b0ae-c45f94c6cbb3,72a5f440-eebe-48a9-a700-edb75bfae7c9,erfüllt,2026-06-13 05:15:45.950854+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:45.369Z · runner=erfüllt
f3c9af20-d36c-4d52-abf6-17f42dc5b3a0,d3949252-5e73-436e-b0ae-c45f94c6cbb3,acd035cd-c15b-455f-a4fc-00bc0fa23be9,erfüllt,2026-06-13 05:15:46.601705+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:46.239Z · runner=erfüllt
b39e93bb-870e-420f-8855-b5f16ff05168,d3949252-5e73-436e-b0ae-c45f94c6cbb3,e36d8705-d45c-45ee-9e3c-434181610b9f,teilweise,2026-06-13 05:15:47.03294+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:46.853Z · runner=teilweise
9425c5da-d9a3-484b-9882-a2172f64ee6c,d3949252-5e73-436e-b0ae-c45f94c6cbb3,d9bbc2ff-ee1b-4163-bfe8-9db11704a348,erfüllt,2026-06-13 05:15:47.524433+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:47.279Z · runner=erfüllt
1af8c1f4-08a8-4984-9604-477c425e9b76,d3949252-5e73-436e-b0ae-c45f94c6cbb3,9ea9d09a-6c30-4edb-b854-42e633a86f68,erfüllt,2026-06-13 05:15:48.016809+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:47.836Z · runner=erfüllt
6923eb84-f85e-45ca-a7d4-27bb5d99692b,d3949252-5e73-436e-b0ae-c45f94c6cbb3,b0c5f4ba-f34e-46b1-b28f-7933d83a98c2,erfüllt,2026-06-13 05:15:48.552669+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:48.321Z · runner=erfüllt
206f28c0-2275-446f-91d9-15d8bc0ad938,d3949252-5e73-436e-b0ae-c45f94c6cbb3,957ebb3c-28d6-4fad-82ac-b47d7c4d7457,erfüllt,2026-06-13 05:15:49.030593+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:48.822Z · runner=erfüllt
7b8eebd4-5a93-46d8-aa2a-e58f8574042e,d3949252-5e73-436e-b0ae-c45f94c6cbb3,4c6181f3-5932-44bc-b733-e85de828f898,erfüllt,2026-06-13 05:15:49.505001+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:49.306Z · runner=erfüllt
befe3d1e-ac23-49ef-b779-c3e8f08a133e,d3949252-5e73-436e-b0ae-c45f94c6cbb3,fa38fe62-e3f5-43e3-9049-d3295d5289cb,erfüllt,2026-06-13 05:15:49.986359+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:49.801Z · runner=erfüllt
e82e46be-47bc-4559-8890-b556707dccf7,d3949252-5e73-436e-b0ae-c45f94c6cbb3,0cb0ca81-dc80-409e-8138-e9be70686dcf,erfüllt,2026-06-13 05:15:50.492585+00,Walk-through (cycle-2 prep) 2026-06-13T05:15:50.286Z · runner=erfüllt
